"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x497880571","x1335356070181552129",2020-12-05 22:51:11,"Mbaaza","This movie gave me my whole life and the next one too #Peppermint #NetflixStreamFest #Netflix
Why hadnt I ever seen it? https://t.co/V5prPuwRe1","Twitter for Android",119,,,,FALSE,FALSE,1,0,,,"Peppermint NetflixStreamFest Netflix",,,,,"http://pbs.twimg.com/media/EogjRLjU8AE-ASN.jpg","https://t.co/V5prPuwRe1","https://twitter.com/Mbaaza/status/1335356070181552129/photo/1","photo","http://pbs.twimg.com/media/EogjRLjU8AE-ASN.jpg","https://t.co/V5prPuwRe1","https://twitter.com/Mbaaza/status/1335356070181552129/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Mbaaza/status/1335356070181552129","Baaza","","He who fears the thorn should                      never grasp the rose",,FALSE,352,85,7,5235,5506,2012-02-20 13:16:14,FALSE,,,,"https://pbs.twimg.com/profile_banners/497880571/1456089382","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1006580928230010880/PV4A28PL_normal.jpg"
"x351997709","x1335354801996128256",2020-12-05 22:46:09,"yvetteDC84","Twitter Fam! If you lookin for a Flashback Movie 2018
This is The Movie ""PEPPERMINT"" 
Jennifer Garner ""You did that! Fierce #Peppermint #JenniferGarner #Netflix https://t.co/HKE0732SUK","Twitter for Android",160,,,,FALSE,FALSE,0,0,,,"Peppermint JenniferGarner Netflix",,,,,"http://pbs.twimg.com/media/EogiHZzWEAMZ588.jpg","https://t.co/HKE0732SUK","https://twitter.com/yvetteDC84/status/1335354801996128256/photo/1","photo","http://pbs.twimg.com/media/EogiHZzWEAMZ588.jpg","https://t.co/HKE0732SUK","https://twitter.com/yvetteDC84/status/1335354801996128256/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/yvetteDC84/status/1335354801996128256","Yvettedc84","","<U+0001F4AF> Fun <U+0001F5A4>Laughter <U+0001F5A4>Love w/ Music",,FALSE,326,500,22,35632,3774,2011-08-10 00:46:19,FALSE,,,,"https://pbs.twimg.com/profile_banners/351997709/1602467270","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1315482205829959685/tOPlN2aJ_normal.jpg"
"x3092209045","x1335348337755652096",2020-12-05 22:20:27,"jeffreydburgess","Riley North is the female Punisher. #Netflix #Peppermint #RileyNorth #Punisher","Twitter for iPhone",78,,,,FALSE,FALSE,0,0,,,"Netflix Peppermint RileyNorth Punisher",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/7cb7440bcf83d464.json","Tempe","Tempe, AZ","city","United States","US","NA NA","NA NA","-111.979047 -111.877237 -111.877237 -111.979047 33.3199453 33.3199453 33.465823 33.465823","https://twitter.com/jeffreydburgess/status/1335348337755652096","Jeffrey D Burgess","Tempe, AZ","Modern eclecticist. Highly skilled at many things that aren't very healthy or profitable. Optimist prior to November 2016.","https://t.co/DAq3if8M3T",FALSE,160,1203,18,7286,10247,2015-03-17 04:21:11,FALSE,"https://t.co/DAq3if8M3T","http://jeffreydavidburgess.com",,"https://pbs.twimg.com/profile_banners/3092209045/1460992613","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1300431754239434758/XWI2L5dc_normal.jpg"
"x180106658","x1335315199625072640",2020-12-05 20:08:47,"Tallahassee505","@PeppermintMovie just watched this movie on @netflix . Didn't even know this movie existed. #jennifergarner is amazing and this movie is badass! #Peppermint #Netflix #NetflixMatchMaker #netflixtopten","Twitter for iPhone",199,,"x930942648390529024","PeppermintMovie",FALSE,FALSE,1,0,,,"jennifergarner Peppermint Netflix NetflixMatchMaker netflixtopten",,,,,,,,,,,,,"x930942648390529024 x16573941","PeppermintMovie netflix","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Tallahassee505/status/1335315199625072640","Tallahass33","United States","Just a devil without a cause finding a cause. Dad of one, love to workout, compete, lift , & run.",,FALSE,42,220,1,2127,390,2010-08-18 21:18:11,FALSE,,,,"https://pbs.twimg.com/profile_banners/180106658/1580699500","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1282920834747625472/CPGWm4-H_normal.jpg"
"x1122768938419531777","x1335276781901926401",2020-12-05 17:36:07,"WhoIsSoloAct","White Runtz/ Netflix/ &amp; cuddles <U+0001F970> #Peppermint #Netflix","Twitter for iPhone",58,,,,FALSE,FALSE,0,0,,,"Peppermint Netflix",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/WhoIsSoloAct/status/1335276781901926401","SoloActStunna","Louisville, KY","SAME SoloActStunna on here as in person <U+274C> <U+0001F3A9>","https://t.co/5GfWXcjXGG",FALSE,261,629,0,15108,13815,2019-04-29 07:45:49,FALSE,"https://t.co/5GfWXcjXGG","http://instagram.com/iamsoloactstunna",,"https://pbs.twimg.com/profile_banners/1122768938419531777/1569804679",,"http://pbs.twimg.com/profile_images/1334908980204888066/Tdhbu4Yi_normal.jpg"
"x1085392599907778561","x1335266091199770625",2020-12-05 16:53:38,"KnownFrauds","#Peppermint is trending on #Netflix?

Find out why the #KnownFrauds named an entire movie rating scale after this amazing flick

https://t.co/bLcuZhrytI https://t.co/3XDmmiBQSB","Twitter for Android",152,,,,FALSE,FALSE,0,0,,,"Peppermint Netflix KnownFrauds",,"open.spotify.com/episode/0KCZBi…","https://t.co/bLcuZhrytI","https://open.spotify.com/episode/0KCZBibsVqetGTJAbUCbVv?si=3NrVnTx3QNCHIWR3fL5B9g","http://pbs.twimg.com/media/EofRbu4W8Ak7IOj.jpg","https://t.co/3XDmmiBQSB","https://twitter.com/KnownFrauds/status/1335266091199770625/photo/1","photo","http://pbs.twimg.com/media/EofRbu4W8Ak7IOj.jpg","https://t.co/3XDmmiBQSB","https://twitter.com/KnownFrauds/status/1335266091199770625/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/KnownFrauds/status/1335266091199770625","KnownFrauds","United States","Home of #HotSportzTakes, suburban Dad talk, and attempted comedy. Often asleep on the couch by 8:30 p.m.",,FALSE,40,118,0,936,122,2019-01-16 04:25:36,FALSE,,,,"https://pbs.twimg.com/profile_banners/1085392599907778561/1582061139",,"http://pbs.twimg.com/profile_images/1085394276752785408/El7XBvC-_normal.jpg"
"x351899460","x1335263784382959618",2020-12-05 16:44:28,"_ShayRoZay","Yoooo that movie #Peppermint on #Netflix was <U+0001F525><U+0001F525> I think ima watch it over today to see if I missed anything..","Twitter for Android",109,,,,FALSE,FALSE,0,0,,,"Peppermint Netflix",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/_ShayRoZay/status/1335263784382959618","$HAY ROZAY","#QUEENSraised #HARLEMpaid #NYC","","https://t.co/lNgIoh8SkZ",FALSE,1957,1161,63,116306,2198,2011-08-09 21:46:29,FALSE,"https://t.co/lNgIoh8SkZ","http://www.shayrozay.weebly.com",,"https://pbs.twimg.com/profile_banners/351899460/1559956485","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1326392230702149632/IvHbHoax_normal.jpg"
"x2203958512","x1335212534505361408",2020-12-05 13:20:49,"IamMrsWortham","#Peppermint is a must watch on #Netflix","Twitter for iPhone",39,,,,FALSE,FALSE,0,0,,,"Peppermint Netflix",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/IamMrsWortham/status/1335212534505361408","Jasmine Wortham","Saint Louis","She's a Queen...Loving on her King... Taking care of her prince while loving God in the mist! Betta know it! <U+2764> Devin & Dorian’s Mommy<U+2764>",,FALSE,135,589,0,4628,1228,2013-12-02 01:40:52,FALSE,,,,"https://pbs.twimg.com/profile_banners/2203958512/1605276162","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1327250535112732674/kuJrfIoa_normal.jpg"
"x31039652","x1335207255969583105",2020-12-05 12:59:51,"mzzonekeke","#Peppermint was a good movie reminded me of #ThePunisher just with a female #Netflix","Twitter for iPhone",84,,,,FALSE,FALSE,0,0,,,"Peppermint ThePunisher Netflix",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mzzonekeke/status/1335207255969583105","PaparazziKee <U+0001F484>","...Land of the Giants...","No Bio Needed",,FALSE,801,1823,4,35059,17129,2009-04-14 02:57:10,FALSE,,,,"https://pbs.twimg.com/profile_banners/31039652/1602430001","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/1294774095452700672/q7Es9TPi_normal.jpg"
"x1303050949150355456","x1335087399467147265",2020-12-05 05:03:35,"jordannnicole21","If you ain’t seen #PEPPERMINT on #Netflix then you’re missin out. I promise <U+0001F929>","Twitter for iPhone",77,,,,FALSE,FALSE,0,0,,,"PEPPERMINT Netflix",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/jordannnicole21/status/1335087399467147265","•JSHOE•","New York, USA","2<U+FE0F><U+20E3>5<U+FE0F><U+20E3><U+2651><U+FE0F> SSS <U+0001F476><U+0001F3FC> #bipolar <U+0001F64A> #milf <U+0001F648> #survivor <U+0001F649> Honesty<U+2194><U+FE0F>Communication<U+23E9> <U+0001F5DD><U+270C><U+0001F3FC><U+0001F919><U+0001F3FC><U+0001F595><U+0001F3FC><U+0001F449><U+0001F3FC><U+270A><U+0001F3FC> <U+0001F451><U+0001F984><U+0001F431><U+0001F34D><U+0001F36D><U+0001F4A3>","https://t.co/Dr6EjzX9vE",FALSE,71,410,0,278,81,2020-09-07 19:22:20,FALSE,"https://t.co/Dr6EjzX9vE","http://www.instagram.com/mamacita02020",,"https://pbs.twimg.com/profile_banners/1303050949150355456/1606297047",,"http://pbs.twimg.com/profile_images/1331532436312829952/DCAhOx_u_normal.jpg"
